subject_id,speed,impulse_ns_left,impulse_ns_right,loading_rate_left,loading_rate_right,mean_ap_force_left,mean_ap_force_right,mean_ml_force_left,mean_ml_force_right,mean_vgrf_left,mean_vgrf_right,peak_ap_force_left,peak_ap_force_right,peak_ml_force_left,peak_ml_force_right,peak_vgrf_left,peak_vgrf_right,stance_duration_ms_left,stance_duration_ms_right,ai_stance_duration_ms,ai_peak_vgrf,ai_mean_vgrf,ai_impulse_ns,ai_loading_rate
GP13,1.1,476.2156545307308,502.0585533299231,2.4186578866640267,2.249257282691377,71.22730726150728,74.24885016073974,45.78265267429616,43.36787951378666,640.4809170683571,653.3068702079061,146.47352738461538,164.1412998653846,73.60580448076922,70.55616748076923,914.2811502692307,917.5388077692307,743.4807692307693,768.8461538461538,3.3544843020816,0.3556744193887011,1.9826981311286997,5.2833650507268395,7.258084083650661
GP13,1.2,475.2206218260849,484.05508095370755,2.520287203518913,2.4320260799205506,80.25437987397784,81.26696114755545,40.89107046765138,38.46780842477122,654.5567745777787,654.5888666110955,166.48822415094338,179.96351541509435,67.78273673584906,64.78343205660377,947.9087443773585,927.0602566792453,726.1509433962265,739.5283018867924,1.8254141939470263,2.2238754546197237,0.004902744554490936,1.8419019895994735,3.5644402341632326
GP13,1.3,464.59007056646294,468.5512104920182,2.704834704606629,2.5844670053036127,87.23163278680838,89.91649263216708,40.02964167492285,38.44783792201049,656.4904324292964,660.3963959396384,184.60532062962963,197.1499900727273,67.86264172222222,65.36380876363636,978.0400593518518,962.3089955454545,707.6481481481482,709.6363636363636,0.2805668828924263,1.6214674124424455,0.593211721189405,0.8489903953369418,4.551364467543633
GP13,1.4,453.72388982063393,447.573442854193,2.8822041314897255,2.839393076355126,95.26024559659879,96.43605028653838,40.45490113639158,38.17356751177238,661.5598979224312,657.0109343681283,203.07065748214285,213.39165864912283,67.49312114285713,67.7248474736842,1008.8998489642856,983.6385166666666,685.8571428571429,677.7719298245614,1.1858375850965301,2.5355930639377866,0.6899839497284364,1.3647986615444383,1.49647217654196
GP13,1.5,435.9820199730862,442.2593049457069,2.9989126641329813,3.0489692846793544,99.35581155651946,105.05406585173723,41.63049090962255,39.034393156983676,660.6482583265754,664.9475131411664,213.92889827586205,230.39165294827586,70.03402734482759,71.21195884482758,1021.5600396896551,1017.6022686896551,659.9137931034483,663.6034482758621,0.5575530196446317,0.3881761627053165,0.6486524636134734,1.4295125484333542,1.6553438367361988
GP13,1.6,418.105589560075,431.67137200658334,3.3258480981580347,3.1078457300318547,103.5326301809107,112.20918376973437,41.20929110843188,39.15945062172928,658.5205527412222,670.9837356500632,224.00916460000002,242.45786288333332,71.23429588333333,74.75992395,1056.36114295,1048.24696555,632.0833333333334,642.3,1.6033898748414137,0.7710867754646417,1.874861633416984,3.192786592260254,6.77689594649283
GP13,1.7,410.05451267056554,425.50550309426234,3.3885283340617147,3.43543949995407,111.70907643476845,116.42093657239997,38.515956184219604,36.47494371345078,663.2619873093131,677.2518239825555,238.91349016393443,256.55112744262294,67.0519877704918,72.60168063934427,1091.1525799016392,1096.8671334426228,615.1967213114754,628.5081967213115,2.140616349880063,0.5223493651480384,2.087234992343736,3.698355625491176,1.3748941095095744
GP14,0.6,541.2974826155375,571.5705257580769,1.4132816312045609,1.4165492055591673,34.24391453869079,36.299547367226474,32.48612822259476,33.39302605495954,530.4288121350429,548.167208563739,71.08510925,76.72067451282052,51.53083485,54.51438202564103,752.020403325,761.651108974359,999.35,1042.8461538461538,4.259742999146841,1.2724961223230364,3.2891640777988282,5.440545134688807,0.23093778696279513
GP14,0.7,521.3583194911666,537.5971440166463,1.4920022174909775,1.4522643815684644,39.7789181957254,41.99333566538168,31.454680303623302,31.380832706287702,543.4739613655829,548.68381621291,84.7605045952381,88.11164190243903,51.256061476190474,52.89819226829268,751.4491009999999,752.0908456829269,961.7619047619048,979.8048780487804,1.8585992968787748,0.08536450053657132,0.954048023881352,3.066951365770967,2.6993368015795385
GP14,0.8,479.0127399159556,497.9663662988,1.6176683422625453,1.6280767059860048,44.22945427130497,47.66975005625321,36.153425720292816,35.39874862380781,555.3156537322063,564.02402038235,98.07503202222223,103.46932168888888,58.29456468888889,59.46524493333333,756.5145181999999,764.0638956888889,861.8444444444444,883.3333333333334,2.4626590095883314,0.992961286301764,1.5559828444448536,3.880047436485919,0.6413543620178356
GP14,0.9,452.89635100392707,453.703407068602,1.7604673565260924,1.79206363548275,49.961846931654854,53.44397983719352,34.348165864511834,34.88018986331995,552.567218215771,563.3245684353419,110.13269375,113.10402428571429,58.60757883333333,61.48059728571428,761.7619578333333,785.0739359591837,819.6041666666666,806.1836734693877,1.6509525863049657,3.0141501395722456,1.9280274930339976,0.17804021178889115,1.7788038459189248
GP14,1.0,435.35440432821997,435.4502942177451,1.9019188931192845,1.925773113296478,55.72799890142206,58.61812473340302,35.92313423936942,35.16820942645269,561.5237097199949,558.0213580500258,124.77325774,127.7192337254902,60.64250226,62.02700380392157,774.87560666,781.7219029411764,775.44,772.3921568627451,0.39382088345193117,0.8796488801952042,0.625674083303378,0.0220232825305628,1.2464022777804873
